Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
4648.pgm,10000,65536,27872,42.5293,0.04062,0.075485,59.3522,0.999819
4649.pgm,10000,65536,16208,24.7314,0.03437,0.075943,59.3259,0.999759
4650.pgm,10000,65536,33312,50.8301,0.03595,0.077087,59.261,0.999874
4651.pgm,10000,65536,49808,76.001,0.19826,0.075775,59.3355,0.999894
4652.pgm,10000,65536,24704,37.6953,0.03479,0.075516,59.3504,0.999898
4653.pgm,10000,65536,49008,74.7803,0.0262,0.076233,59.3094,0.999789
4654.pgm,10000,65536,41296,63.0127,0.02237,0.075073,59.376,0.9999
4655.pgm,10000,65536,25088,38.2812,0.01986,0.076279,59.3068,0.999767
4656.pgm,10000,65536,45936,70.0928,0.02326,0.074905,59.3857,0.999757
4657.pgm,10000,65536,52112,79.5166,0.03128,0.075546,59.3487,0.999939
4658.pgm,10000,65536,62944,96.0449,0.16892,0.076736,59.2808,0.999898
4659.pgm,10000,65536,23840,36.377,0.03614,0.076675,59.2842,0.999797
4660.pgm,10000,65536,60736,92.6758,0.02966,0.077026,59.2644,0.999822
4661.pgm,10000,65536,27296,41.6504,0.02254,0.076492,59.2946,0.999809
4662.pgm,10000,65536,28976,44.2139,0.02241,0.074677,59.399,0.99984
4663.pgm,10000,65536,23952,36.5479,0.02255,0.076172,59.3129,0.999904
4664.pgm,10000,65536,30720,46.875,0.02776,0.077087,59.261,0.999886
4665.pgm,10000,65536,29216,44.5801,0.03428,0.075958,59.3251,0.999908
4666.pgm,10000,65536,30560,46.6309,0.14627,0.076599,59.2886,0.999871
4667.pgm,10000,65536,49616,75.708,0.06266,0.07608,59.3181,0.999919
4668.pgm,10000,65536,32800,50.0488,0.02793,0.076355,59.3024,0.999831
4669.pgm,10000,65536,58976,89.9902,0.02592,0.075516,59.3504,0.999861
4670.pgm,10000,65536,45056,68.75,0.02384,0.075638,59.3434,0.999924
4671.pgm,10000,65536,44976,68.6279,0.02597,0.076492,59.2946,0.999861
4672.pgm,10000,65536,22176,33.8379,0.02576,0.077072,59.2618,0.999775
4673.pgm,10000,65536,14240,21.7285,0.02741,0.075424,59.3557,0.999784
4674.pgm,10000,65536,12400,18.9209,0.16608,0.076859,59.2739,0.99978
4675.pgm,10000,65536,33760,51.5137,0.05203,0.076111,59.3163,0.999815
